nct_id,titulo,estado,fase,todas_fases,tipo,sponsor,condicion,todas_condiciones,fecha_inicio,año_inicio
NCT03500133,Pediatric Hodgkin Lymphoma Treatment Trial With Low Cumulative Doses of Chemotherapy Agents and Reduced Radiation.,RECRUITING,PHASE4,PHASE4,INTERVENTIONAL,Hospital JP Garrahan,Pediatric Hodgkin's Disease,Pediatric Hodgkin's Disease,2017-10-06,2017.0
NCT03742895,"Efficacy and Safety of Olaparib (MK-7339) in Participants With Previously Treated, Homologous Recombination Repair Mutation (HRRm) or Homologous Recombination Deficiency (HRD) Positive Advanced Cancer (MK-7339-002 / LYNK-002)",ACTIVE_NOT_RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,Merck Sharp & Dohme LLC,Advanced Solid Neoplasms,Advanced Solid Neoplasms,2018-12-12,2018.0
NCT02962895,Safety and Efficacy of VAY736 in Patients With Primary Sjogren's Syndrome (pSS),COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Novartis Pharmaceuticals,Primary Sjogren Syndrome,Primary Sjogren Syndrome,2017-06-27,2017.0
NCT00680901,"LOGiC - Lapatinib Optimization Study in ErbB2 (HER2) Positive Gastric Cancer: A Phase III Global, Blinded Study Designed to Evaluate Clinical Endpoints and Safety of Chemotherapy Plus Lapatinib",COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,"Neoplasms, Gastrointestinal Tract","Neoplasms, Gastrointestinal Tract",2008-06-04,2008.0
NCT06293365,Two-period Crossover Study to Demonstrate the Comparability of Pharmacokinetics of Subcutaneous Ianalumab Between 2mL Auto-injector/2mL PFS with1mL Pre-filled Syringe in Adult Participants With Autoimmune Disease,ACTIVE_NOT_RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,Novartis Pharmaceuticals,Sjögrens Disease,Sjögrens Disease; Systemic Lupus Erythematosus; Rheumatoid Arthritis,2024-07-02,2024.0
NCT02041533,"An Open-Label, Randomized, Phase 3 Trial of Nivolumab Versus Investigator's Choice Chemotherapy as First-Line Therapy for Stage IV or Recurrent PD-L1+ Non-Small Cell Lung Cancer (CheckMate 026)",COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Bristol-Myers Squibb,Stage IV or Recurrent Non-Small Cell Lung Cancer,Stage IV or Recurrent Non-Small Cell Lung Cancer,2014-03-27,2014.0
NCT06816667,"Safety, Tolerability, and Efficacy of Sublingual Microdoses of 5-MeO-DMT for Depression and Anxiety",COMPLETED,PHASE1,PHASE1; PHASE2,INTERVENTIONAL,Biomind Labs Inc.,Healthy Volunteers,Healthy Volunteers,2024-10-21,2024.0
NCT00903175,Efficacy and Safety Comparison of RAD001 Versus Sunitinib in the First-line and Second-line Treatment of Patients With Metastatic Renal Cell Carcinoma,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Novartis Pharmaceuticals,Renal Cell Carcinoma,Renal Cell Carcinoma,2009-10,2009.0
NCT06683781,Ventilatory Settings and Monitoring Variables Associated With Weaning Failure in Critically Ill Patients,RECRUITING,NO APLICA,NO APLICA,OBSERVATIONAL,Hospital Italiano de Buenos Aires,Mechanical Ventilation,Mechanical Ventilation; Weaning Failure; Weaning Failure of Mechanical Ventilation; Intensive Care Unit ICU,2024-12-01,2024.0
NCT07087054,Carcinoid Syndrome Efficacy Study Featuring an Oral Daily Paltusotine Regimen,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Crinetics Pharmaceuticals Inc.,Carcinoid Syndrome,Carcinoid Syndrome; Carcinoid; Carcinoid Tumor; Carcinoid Tumor of Ileum; Carcinoid Tumor of Cecum; Carcinoid Tumor of Liver; Carcinoid Tumor of Pancreas; Carcinoid Syndrome Diarrhea; Carcinoid Intestine Tumor,2025-11-19,2025.0
NCT07227402,A Clinical Study of Belzutifan and Zanzalintinib in People With Recurrent Kidney Cancer Following Adjuvant Therapy (MK-6482-033),RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Merck Sharp & Dohme LLC,Renal Cell Carcinoma,Renal Cell Carcinoma,2025-11-26,2025.0
NCT04908202,A Study to Determine the Efficacy and Safety of Deucravacitinib Compared With Placebo in Participants With Active Psoriatic Arthritis (PsA) Who Are Naïve to Biologic Disease-modifying Anti-rheumatic Drugs,ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Bristol-Myers Squibb,Psoriatic Arthritis,Psoriatic Arthritis,2021-07-13,2021.0
NCT02165345,Extension Study Evaluating the Safety and Efficacy of Subcutaneous Tocilizumab (RoActemra/Actemra) Administration in Systemic and Polyarticular-Course Juvenile Idiopathic Arthritis,COMPLETED,PHASE1,PHASE1,INTERVENTIONAL,Hoffmann-La Roche,Juvenile Idiopathic Arthritis,Juvenile Idiopathic Arthritis,2014-07-16,2014.0
NCT07419295,"A Clinical Trial of Sacituzumab Tirumotecan (Sac-TMT, MK-2870) to Treat Urothelial Cancer (MK-2870-031)",RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Merck Sharp & Dohme LLC,Bladder Cancer,Bladder Cancer,2026-04-23,2026.0
