nct_id,titulo,estado,fase,todas_fases,tipo,sponsor,condicion,todas_condiciones,fecha_inicio,año_inicio
NCT01362608,"Safety & Efficacy of Canakinumab (ACZ885) in Patients With Frequent Flares for Whom Nonsterodial Anti-Inflammatory Drug (NSAIDs) and/ or Colchicine Are Contraindicated, Not Tolerated or Ineffective",TERMINATED,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Gouty Arthritis,Gouty Arthritis,2011-06-20,2011.0
NCT01431274,Tiotropium+Olodaterol Fixed Dose Combination (FDC) Versus Tiotropium and Olodaterol in Chronic Obstructive Pulmonary Disease (COPD),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Boehringer Ingelheim,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",2011-09,2011.0
NCT05797610,A Study to Evaluate the Efficacy and Safety of Sefaxersen (RO7434656) in Participants With Primary Immunoglobulin A (IgA) Nephropathy at High Risk of Progression,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Hoffmann-La Roche,Primary IgA Nephropathy,Primary IgA Nephropathy,2023-08-08,2023.0
NCT05061420,A Study of SAR444245 Combined With Other Anticancer Therapies for the Treatment of Participants With HNSCC (Master Protocol) (Pegathor Head and Neck 204),TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,Sanofi,Squamous Cell Carcinoma of Head and Neck,Squamous Cell Carcinoma of Head and Neck,2021-10-08,2021.0
NCT00449982,Efficacy and Safety Study of Polyphenon E to Treat External Genital Warts,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,MediGene,Condylomata Acuminata,Condylomata Acuminata,2003-07,2003.0
NCT00633789,Phase II Study of Brivanib (BMS-582664) to Treat Multiple Tumor Types,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Bristol-Myers Squibb,Advanced Non-small Cell Lung Cancer,Advanced Non-small Cell Lung Cancer; Transitional Cell Carcinoma; Soft Tissue Sarcoma; Gastric/Esophageal Adenocarcinoma; Pancreatic Cancer Including Ampulla of Vater,2008-06,2008.0
NCT00353574,DORADO-EX: Long-Term Safety Extension Study to the Phase 3 DORADO Study (Protocol DAR-311) of Darusentan in Resistant Hypertension,TERMINATED,PHASE3,PHASE3,INTERVENTIONAL,Gilead Sciences,Hypertension,Hypertension,2006-09,2006.0
NCT04562155,Clinical Study to Evaluate the Efficacy and Safety of Three Different Doses of BAY1817080 Compared to Placebo in Patients With Chronic Cough,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Bayer,Refractory and/or Unexplained Chronic Cough,Refractory and/or Unexplained Chronic Cough,2020-10-02,2020.0
NCT01888874,Dose-finding Study of GLPG0634 as add-on to Methotrexate in Active Rheumatoid Arthritis Participants (DARWIN1),COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Galapagos NV,Rheumatoid Arthritis,Rheumatoid Arthritis,2013-07-17,2013.0
NCT04954235,Effectiveness and Safety Study of Specific Hyperimmune Equine Serum for the Treatment of Severe Hospitalized SARS-CoV-2 in Adults: Retrospective Cohort Study,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Inmunova S.A.,Covid19,Covid19,2021-05-22,2021.0
NCT00399035,"Cediranib (AZD2171, RECENTIN™) in Addition to Chemotherapy in Patients With Untreated Metastatic Colorectal Cancer",COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,AstraZeneca,Metastatic Colorectal Cancer,Metastatic Colorectal Cancer,2006-11,2006.0
NCT01000025,PF-00299804 in Stage IIIB or Stage IV Non-Small Cell Lung Cancer Not Responding to Standard Therapy for Advanced or Metastatic Cancer,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,NCIC Clinical Trials Group,Lung Cancer,Lung Cancer,2009-12-23,2009.0
NCT06549517,"Study on the Effectiveness of the MTT24.5 Cognitive Training Program on Cognitive Skills, Brain Volume, and Activation",COMPLETED,NA,NA,INTERVENTIONAL,"Institute for Biomedical Research, CONICET",Cognitive Dysfunction,Cognitive Dysfunction,2023-03-02,2023.0
NCT00042068,A Multi-Center Trial to Compare Three Doses of Meloxicam and Placebo in Patients With Rheumatoid Arthritis,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Boehringer Ingelheim,"Arthritis, Rheumatoid","Arthritis, Rheumatoid",2002-06,2002.0
NCT00824421,"A Study Of Different Doses Of UK-453, 061 Plus Truvada Compared To Efavirenz Plus Truvada In Patients Who Have Not Been Previously Treated For HIV-1",COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Pfizer,HIV-1,HIV-1,2009-02,2009.0
NCT02255058,MIND Score for Prolonged Mechanical Ventilation,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Linde AG,"Functional Test, COPD, Neuromuscular Disorders, Mechanical Ventilation, Weaning, Disability","Functional Test, COPD, Neuromuscular Disorders, Mechanical Ventilation, Weaning, Disability",2014-08,2014.0
NCT05672199,Long-term Safety and Efficacy of Efavaleukin Alfa in Participants With Moderately to Severely Active Ulcerative Colitis,TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,Amgen,Ulcerative Colitis,Ulcerative Colitis,2023-04-28,2023.0
NCT00065325,The Evaluation of the Efficacy and Tolerability of FASLODEX (Fulvestrant) and AROMASIN (Exemestane) in Hormone Receptor Positive Postmenopausal Women With Advanced Breast Cancer,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,AstraZeneca,Locally Advanced Breast Cancer,Locally Advanced Breast Cancer; Metastatic Breast Cancer,2003-08,2003.0
NCT00424476,A Study of Belimumab in Subjects With Systemic Lupus Erythematosus (SLE),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Human Genome Sciences Inc.,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,2007-05,2007.0
NCT01313676,Study to Evaluate the Effect of Fluticasone Furoate/Vilanterol on Survival in Subjects With Chronic Obstructive Pulmonary Disease,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,GlaxoSmithKline,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",2011-01-25,2011.0
NCT05755386,Study of Efficacy and Safety of Iptacopan in Participants With IC-MPGN,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,IC-MPGN,IC-MPGN,2023-10-02,2023.0
NCT02059122,Sensitivity Study of Diagnostic for Early Detection of Dengue Infection,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,"InBios International, Inc.",Infectious Diseases,Infectious Diseases,2011-04,2011.0
NCT02547922,Safety and Efficacy of Two Doses of Anifrolumab Compared to Placebo in Adult Subjects With Active Proliferative Lupus Nephritis,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,AstraZeneca,Lupus Nephritis,Lupus Nephritis,2015-11-04,2015.0
NCT00490139,ALTTO (Adjuvant Lapatinib And/Or Trastuzumab Treatment Optimisation) Study; BIG 2-06/N063D,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,"Neoplasms, Breast","Neoplasms, Breast",2007-05-16,2007.0
NCT00652470,A Study Comparing Two Treatments for Infants With Hydrocephalus,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,The Hospital for Sick Children,Hydrocephalus,Hydrocephalus,2005-09,2005.0
NCT05470569,Argentinian Prospective Registry of Patients With Lupus,RECRUITING,NO APLICA,NO APLICA,OBSERVATIONAL,Sociedad Argentina de Reumatologia,SLE,SLE,2022-04-01,2022.0
NCT06571045,A Study to Evaluate the Efficacy and Safety of 2 Doses of EYE103 Compared With Ranibizumab (0.5 mg) in Participants With DME,ACTIVE_NOT_RECRUITING,PHASE2,PHASE2; PHASE3,INTERVENTIONAL,EyeBiotech Ltd.,Diabetic Macular Edema (DME),Diabetic Macular Edema (DME),2024-08-07,2024.0
NCT03704077,"An Investigational Immuno-therapy Study of Relatlimab Plus Nivolumab Compared to Various Standard-of-Care Therapies in Previously Treated Participants With Recurrent, Advanced or Metastatic Gastric Cancer or Gastroesophageal Junction Adenocarcinoma",WITHDRAWN,PHASE2,PHASE2,INTERVENTIONAL,Bristol-Myers Squibb,Gastric Cancer,Gastric Cancer; Cancer of the Stomach; Stomach Cancer; Gastroesophageal Junction,2019-10-31,2019.0
NCT03673501,A Study of Ripretinib vs Sunitinib in Advanced GIST Patients After Treatment With Imatinib,ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,"Deciphera Pharmaceuticals, LLC",Gastrointestinal Stromal Tumors,Gastrointestinal Stromal Tumors,2019-02-08,2019.0
NCT06679101,"A Study of Belantamab Mafodotin Administered in Combination With Lenalidomide and Dexamethasone (BRd) Versus Daratumumab, Lenalidomide, and Dexamethasone (DRd) in Participants With Newly Diagnosed Multiple Myeloma (NDMM) Who Are Ineligible for Autologous Stem Cell Transplantation (TI-NDMM)",RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,GlaxoSmithKline,Multiple Myeloma,Multiple Myeloma; Newly Diagnosed Multiple Myeloma,2024-12-16,2024.0
NCT03996369,Etrasimod Versus Placebo as Induction Therapy in Moderately to Severely Active Ulcerative Colitis,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Arena Pharmaceuticals,Ulcerative Colitis,Ulcerative Colitis,2020-09-15,2020.0
NCT03321695,A Study of the Safety of Atezolizumab in Participants With Locally Advanced or Metastatic Non Small Cell Lung Cancer in Argentina,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Hoffmann-La Roche,"Carcinoma, Non-small-cell Lung","Carcinoma, Non-small-cell Lung",2017-12-27,2017.0
NCT00670501,Effects of Teriparatide in the Treatment of Postmenopausal Women With Osteoporosis,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Eli Lilly and Company,"Osteoporosis, Postmenopausal","Osteoporosis, Postmenopausal",1996-08,1996.0
NCT05430854,Study of Daxdilimab (HZN-7734) for the Treatment of Systemic Lupus Erythematosus in an Open-label Extension Study,TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,Amgen,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,2022-06-01,2022.0
NCT05752201,ARVAC-A New Recombinant Coronavirus Disease 2019 (COVID-19) Vaccine,COMPLETED,PHASE2,PHASE2; PHASE3,INTERVENTIONAL,Centro de Educación Medica e Investigaciones Clínicas Norberto Quirno,COVID-19 Vaccine,COVID-19 Vaccine,2023-02-06,2023.0
NCT04764188,An Observational Study to Evaluate the Real-World Clinical Management and Outcomes of ALK-Positive Advanced NSCLC Participants Treated With Alectinib,ACTIVE_NOT_RECRUITING,NO APLICA,NO APLICA,OBSERVATIONAL,Hoffmann-La Roche,NSCLC,NSCLC,2021-05-10,2021.0
NCT03507257,Longitudinal Early-onset Alzheimer's Disease Study Protocol,RECRUITING,NO APLICA,NO APLICA,OBSERVATIONAL,Indiana University,Early Onset Alzheimer Disease,Early Onset Alzheimer Disease; Alzheimer Disease; Mild Cognitive Impairment,2018-04-30,2018.0
NCT03350295,"Study Will Evaluate the Relative Bioavailability, Safety, and Tolerability of Single Doses of Nifurtimox 30 mg Tablets Exhibiting Different in Vitro Dissolution Characteristics, and to Evaluate the Relative Bioavailability of Nifurtimox 30 mg and 120 mg",COMPLETED,PHASE1,PHASE1,INTERVENTIONAL,Bayer,Chagas Disease,Chagas Disease,2018-06-14,2018.0
NCT05947851,A Study of Nemtabrutinib Plus Venetoclax vs Venetoclax + Rituximab (VR) in Second-line (2L) + Relapsed/Refractory (R/R) Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL) (MK-1026-010/BELLWAVE-010).,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Merck Sharp & Dohme LLC,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Chronic Lymphocytic; Small-Cell Lymphoma; Lymphoma, Small Lymphocytic; CLL; SLL",2023-08-08,2023.0
NCT04534647,Serological and Urinary Biomarkers in Latin American Patients With Systemic Lupus Erythematosus: GLADEL 2.0 Cohort,UNKNOWN,NO APLICA,NO APLICA,OBSERVATIONAL,Liga Panamericana de Asociaciones de Reumatologia (PANLAR),Lupus Nephritis,Lupus Nephritis,2019-06-01,2019.0
NCT00820911,Efficacy and Safety of AEB071 Versus Cyclosporine in de Novo Renal Transplant Recipients,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Novartis Pharmaceuticals,Kidney Transplantation,Kidney Transplantation,2008-09,2008.0
NCT00434148,"Safety and Efficacy of Different Dose Levels of Pasireotide in Patients With de Novo, Persistent or Recurrent Cushing's Disease",COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Cushing's Disease,Cushing's Disease,2006-12,2006.0
NCT05152147,A Study of Zanidatamab in Combination With Chemotherapy Plus or Minus Tislelizumab in Patients With HER2-positive Advanced or Metastatic Gastric and Esophageal Cancers,ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Jazz Pharmaceuticals,Gastric Neoplasms,Gastric Neoplasms; Gastroesophageal Adenocarcinoma; Esophageal Adenocarcinoma,2021-12-02,2021.0
NCT01295216,Use of Mobile Technology to Prevent Progression of Pre-hypertension in Latin American Urban Settings,TERMINATED,NA,NA,INTERVENTIONAL,Institute of Nutrition of Central America and Panama,Hypertension,Hypertension; Prehypertension,2011-09,2011.0
NCT00725985,Oral Cladribine in Early Multiple Sclerosis (MS),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,"EMD Serono Research & Development Institute, Inc.",Multiple Sclerosis,Multiple Sclerosis,2008-12-31,2008.0
NCT04805671,Evaluation of ADG20 for the Treatment of Mild or Moderate COVID-19,TERMINATED,PHASE2,PHASE2; PHASE3,INTERVENTIONAL,"Invivyd, Inc.",COVID-19,COVID-19,2021-07-26,2021.0
NCT04447755,A Study of Lenvatinib (MK-7902) in Pediatric Participants With Relapsed or Refractory Solid Malignancies (MK-7902-013/E7080),COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Merck Sharp & Dohme LLC,Relapsed or Refractory Solid Tumors,Relapsed or Refractory Solid Tumors,2020-07-30,2020.0
NCT06054555,A Study to Evaluate ABP 206 Compared With OPDIVO® (Nivolumab) in Subjects With Unresectable or Metastatic Melanoma,ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Amgen,Melanoma,Melanoma,2023-11-02,2023.0
NCT03303755,Predictive Models of Weight and Height for the Evaluation of the Growth of Children and Adolescents With Cerebral Palsy,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,"National Council of Scientific and Technical Research, Argentina",Cerebral Palsy,Cerebral Palsy; Growth; Child,2014-04-01,2014.0
NCT05071300,"A Study to Assess the Long-Term Safety and Efficacy of Eplontersen (Formerly Known as ION-682884, IONIS-TTR-LRx and AKCEA-TTR-LRx) in Patients With Hereditary Transthyretin-Mediated Amyloid Polyneuropathy",ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,"Ionis Pharmaceuticals, Inc.",Hereditary Transthyretin-Mediated Amyloid Polyneuropathy,Hereditary Transthyretin-Mediated Amyloid Polyneuropathy,2022-01-04,2022.0
NCT01237444,Study of Lopinavir/ Ritonavir and Lamivudine Versus Standard Therapy in Naïve HIV-1 Infected Subjects.,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Pedro Cahn,HIV Infection,HIV Infection,2010-12,2010.0
NCT03520933,Multi-center Study to Validate niPGT-A,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Igenomix,Aneuploidy,Aneuploidy; Chromosome Abnormality; Infertility,2018-04-27,2018.0
NCT05705349,DOR/ISL in HIV-1 Antiretroviral Treatment-naïve Participants (MK-8591A-053),ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Merck Sharp & Dohme LLC,HIV-1 Infection,HIV-1 Infection,2023-03-08,2023.0
NCT06846671,A Study of BGB-16673 Compared to Investigator's Choice in Participants With Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma Previously Exposed to Both Bruton Tyrosine Kinase (BTK) and B-cell Leukemia/Lymphoma 2 Protein (BCL2) Inhibitors,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,BeOne Medicines,CLL,CLL; Chronic Lymphocytic Leukemia,2025-04-10,2025.0
NCT05064358,Study to Investigate Alternative Dosing Regimens of Belantamab Mafodotin in Participants With Relapsed or Refractory Multiple Myeloma,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,GlaxoSmithKline,Multiple Myeloma,Multiple Myeloma,2022-03-03,2022.0
NCT01892436,Extension Study up to 3 Years for Secukinumab in Psoriatic Arthritis,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Psoriatic Arthritis,Psoriatic Arthritis,2013-09-30,2013.0
NCT05519085,"A Study to Evaluate Mezigdomide, Bortezomib and Dexamethasone (MEZIVd) Versus Pomalidomide, Bortezomib and Dexamethasone (PVd) in Participants With Relapsed or Refractory Multiple Myeloma (RRMM)",RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Celgene,Relapsed or Refractory Multiple Myeloma,Relapsed or Refractory Multiple Myeloma,2022-09-20,2022.0
NCT04936308,Guselkumab in Active Psoriatic Arthritis Participants With Inadequate Response/Intolerance to One Prior Anti-TNF Alpha Agent,ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,"Janssen Research & Development, LLC","Arthritis, Psoriatic","Arthritis, Psoriatic",2021-09-28,2021.0
NCT00343252,Effect of Teriparatide Compared to Risedronate on Back Pain in Women With a Spine Fracture Caused by Osteoporosis,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Eli Lilly and Company,"Osteoporosis, Postmenopausal","Osteoporosis, Postmenopausal; Back Pain; Spinal Fracture",2006-06,2006.0
NCT01836107,Adaptation and Validation of a Score From English to Spanish for Evaluating Quality of Clinical Notes,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Hospital Italiano de Buenos Aires,Validation Studies,Validation Studies; Cross-Cultural Comparison; Medical Records; Total Quality Management,2013-04,2013.0
NCT02380911,Statins at the Primary Care Level,COMPLETED,NA,NA,INTERVENTIONAL,Institute for Clinical Effectiveness and Health Policy,Dyslipidemia,Dyslipidemia,2015-04,2015.0
NCT05999799,A Dose Finding Study to Investigate the Safety and Effectiveness of GSK1070806 in Adult Participants With Moderate to Severe Atopic Dermatitis,TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,GlaxoSmithKline,"Dermatitis, Atopic","Dermatitis, Atopic",2023-11-16,2023.0
NCT02446899,Efficacy and Safety of Anifrolumab Compared to Placebo in Adult Subjects With Active Systemic Lupus Erythematosus,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,AstraZeneca,Active Systemic Lupus Erythematosus,Active Systemic Lupus Erythematosus,2015-07-09,2015.0
NCT00098293,"Trial of Maraviroc (UK-427,857) in Combination With Zidovudine/Lamivudine Versus Efavirenz in Combination With Zidovudine/Lamivudine",COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,ViiV Healthcare,HIV-1,HIV-1,2004-11,2004.0
NCT00954447,Efficacy and Safety of Linagliptin in Combination With Insulin in Patients With Type 2 Diabetes,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Boehringer Ingelheim,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2",2009-08,2009.0
NCT00106808,Study of Muraglitazar Versus Pioglitazone in Type 2 Diabetes,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Bristol-Myers Squibb,Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,2005-08,2005.0
NCT07230860,A Study of JNJ-95597528 in Participants With Moderate to Severe Atopic Dermatitis,RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,"Janssen Research & Development, LLC","Dermatitis, Atopic","Dermatitis, Atopic",2026-01-20,2026.0
NCT00123487,Advanced Chronic Myelogenous Leukemia (CML) - Follow On: Study of BMS-354825 in Subjects With CML,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Bristol-Myers Squibb,"Myeloid Leukemia, Chronic, Accelerated Phase","Myeloid Leukemia, Chronic, Accelerated Phase; Leukemia, Lymphoblastic, Acute, Philadelphia-Positive",2005-06,2005.0
NCT03359447,"Iron Deficiency Anemia, Iron Supplementation and Genomic Stability in Infants",UNKNOWN,PHASE4,PHASE4,INTERVENTIONAL,Instituto de Desarrollo e Investigaciones Pediátricas Prof. Dr. Fernando E. Viteri,Anemia,Anemia; Iron-deficiency,2017-08-01,2017.0
NCT00116298,"Rollover Study for Zerit (Stavudine) ER Studies (-096, -099)",COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Bristol-Myers Squibb,HIV Infections,HIV Infections; AIDS,2001-01,2001.0
NCT00555321,Belatacept in Liver Transplant Recipients,TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,Bristol-Myers Squibb,Immunosuppression in Solid Organ Transplant,Immunosuppression in Solid Organ Transplant,2008-01,2008.0
NCT01830543,A Study Exploring Two Strategies of Rivaroxaban (JNJ39039039; BAY-59-7939) and One of Oral Vitamin K Antagonist in Patients With Atrial Fibrillation Who Undergo Percutaneous Coronary Intervention,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,"Janssen Scientific Affairs, LLC",Atrial Fibrillation,Atrial Fibrillation; Percutaneous Coronary Intervention,2013-05-10,2013.0
NCT03153111,A Study to Evaluate Whether Macitentan is an Effective and Safe Treatment for Patients With Heart Failure With Preserved Ejection Fraction and Pulmonary Vascular Disease,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Actelion,Heart Failure With Preserved Ejection Fraction,Heart Failure With Preserved Ejection Fraction,2017-07-11,2017.0
NCT03569293,Evaluation of Upadacitinib in Adolescent and Adult Patients With Moderate to Severe Atopic Dermatitis (Eczema),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,AbbVie,Atopic Dermatitis,Atopic Dermatitis,2018-08-13,2018.0
NCT01584648,A Study Comparing Trametinib and Dabrafenib Combination Therapy to Dabrafenib Monotherapy in Subjects With BRAF-mutant Melanoma,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Melanoma,Melanoma,2012-05-04,2012.0
NCT01664026,Efficacy of a Web-based Lifestyle Modification Program in Obese Patients With Cardiovascular Risk Factors,WITHDRAWN,NA,NA,INTERVENTIONAL,Clínica Bazterrica,Obesity,Obesity,2012-08,2012.0
NCT06899126,"Study of Trastuzumab Deruxtecan, Pembrolizumab, and Platinum-based Chemotherapy in First-line HER2 Overexpressing Non-small Cell Lung Cancer",RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Daiichi Sankyo,Non-small Cell Lung Cancer,Non-small Cell Lung Cancer,2025-10-24,2025.0
NCT00882778,PROPACT: Retrospective Prophylaxis Patient Case Collection,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Novo Nordisk A/S,Congenital Bleeding Disorder,Congenital Bleeding Disorder; Haemophilia A With Inhibitors; Haemophilia B With Inhibitors,2009-04,2009.0
NCT04593940,Immune Modulators for Treating COVID-19,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Daniel Benjamin,Covid19,Covid19,2020-10-15,2020.0
NCT06120140,Enhanced Dermatological Care to Reduce Rash and Paronychia in Epidermal Growth Factor Receptor (EGRF)-Mutated Non-Small Cell Lung Cancer (NSCLC) Treated First-line With Amivantamab Plus Lazertinib,ACTIVE_NOT_RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,"Janssen Research & Development, LLC","Carcinoma, Non-Small-Cell Lung","Carcinoma, Non-Small-Cell Lung",2024-02-16,2024.0
NCT04845997,COVID-19 Vaccination in Patients With Rheumatic Diseases,UNKNOWN,NO APLICA,NO APLICA,OBSERVATIONAL,Sociedad Argentina de Reumatologia,Rheumatic Diseases,Rheumatic Diseases,2021-07-01,2021.0
NCT02662985,Study of Power Doppler Ultrasound (PDUS) to Measure Response of Secukinumab Treatment in Patients With Active Psoriatic Arthritis (PsA),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Psoriatic Arthritis,Psoriatic Arthritis,2016-08-22,2016.0
NCT02383108,Strategy for Maintenance of HIV Suppression With Once Daily Integrate Inhibitor+Darunavir/Ritonavir in Children,COMPLETED,PHASE2,PHASE2; PHASE3,INTERVENTIONAL,PENTA Foundation,HIV Infection,HIV Infection,2016-06,2016.0
NCT00243789,Study of Daily Pentoxifylline as a Rescue Treatment in Duchenne Muscular Dystrophy,COMPLETED,PHASE1,PHASE1; PHASE2,INTERVENTIONAL,Cooperative International Neuromuscular Research Group,"Muscular Dystrophy, Duchenne","Muscular Dystrophy, Duchenne",2005-09,2005.0
NCT05624450,Efficacy and Safety of Tozorakimab in Patients Hospitalised for Viral Lung Infection Requiring Supplemental Oxygen,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,AstraZeneca,Viral Lung Infection and Acute Respiratory Failure,Viral Lung Infection and Acute Respiratory Failure,2022-12-13,2022.0
NCT04877691,Subcutaneous Anifrolumab in Adult Patients With Systemic Lupus Erythematosus,ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,AstraZeneca,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,2021-06-08,2021.0
NCT00743938,A Comparison Between BMS-690514 and Erlotinib in Patients Who Were Previously Treated for NSCLC,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Bristol-Myers Squibb,Non Small Cell Lung Cancer,Non Small Cell Lung Cancer,2009-03,2009.0
NCT03086343,A Phase 3 Study to Compare Upadacitinib to Abatacept in Subjects With Rheumatoid Arthritis on Stable Dose of Conventional Synthetic Disease- Modifying Antirheumatic Drugs (csDMARDs) Who Have an Inadequate Response or Intolerance to Biologic DMARDs,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,AbbVie,Rheumatoid Arthritis (RA),Rheumatoid Arthritis (RA),2017-05-09,2017.0
NCT05851443,A Study to Evaluate the Efficacy and Safety Study of Povorcitinib in Participants With Inadequately Controlled Moderate to Severe Asthma,RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,Incyte Corporation,Moderate to Severe Asthma,Moderate to Severe Asthma,2023-07-11,2023.0
NCT00577148,An Efficacy and Safety Study of Rimonabant for Treatment of Nonalcoholic Steatohepatitis (NASH) in Patients With Type 2 Diabetes,TERMINATED,PHASE3,PHASE3,INTERVENTIONAL,Sanofi,Fatty Liver,Fatty Liver,2008-02,2008.0
NCT02914535,Filgotinib in Long-Term Extension Study of Adults With Ulcerative Colitis,ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Alfasigma S.p.A.,Ulcerative Colitis,Ulcerative Colitis,2017-02-23,2017.0
NCT05447338,Manual Therapy in Patients With Neck Pain,RECRUITING,NA,NA,INTERVENTIONAL,Universidad Nacional de Córdoba,Neck Pain,Neck Pain,2021-08-30,2021.0
NCT02451943,A Study of Doxorubicin Plus Olaratumab (LY3012207) in Participants With Advanced or Metastatic Soft Tissue Sarcoma,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Eli Lilly and Company,Soft Tissue Sarcoma,Soft Tissue Sarcoma,2015-09-14,2015.0
NCT02724540,Randomized Embolization Trial for NeuroEndocrine Tumor Metastases to the Liver,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Abramson Cancer Center at Penn Medicine,"Neuroendocrine Tumor, Malignant","Neuroendocrine Tumor, Malignant; Liver Metastases",2016-03,2016.0
NCT00312806,Effect of Pantoprazole on the Symptoms of Acid Reflux Disease in Adult Patients (BY1023/M3-341),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Takeda,Gastroesophageal Reflux Disease (GERD),Gastroesophageal Reflux Disease (GERD),2006-05,2006.0
